review_id,product_id,user_id,review_title,review_content
R1FKOKZ3HHKJBZ,B014I8SSD0,AEYJ5I6JZZPOJB6MGWRQOHRQLPSQ,It's quite good and value for money,I am using it for 14 days now. The experience is pretty good as of now. Picture quality is also not bad. Don't expect something out of the world at this price point. But you can go for it if you have a tight budget.
R2WNMZI1EXTA0H,B014I8SSD0,AFY5TVFOMVHGBPBTIJODYDQRZM5Q,Works well,Initial impressions: works as said
RCA1M3W4RIXUR,B014I8SSD0,AE3O6366WGEQAANKJ76QETTUQQTQ,Hdmi cable, glad I didn’t go for cheaper options (not that it’s too costly) just plug and play. Will update if it screws up
R3BKCLL6D7ZLIX,B014I8SSD0,AEQIJCPWSBCDKUO5VROXXHWX3PPA,Value for money,The hdmi cable is good to watch movie
REVSR0ILY3547,B014I8SSD0,AGVIAQK2HQ47P7UVXHW2NBAEU7YQ,All good,sports and its gives better quality while connecting your laptop with TV and play 🎮.I loved it
R15W5KMQB95IV5,B014I8SSD0,AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,Gets the job done,Works as expected. Length of the cable is short and it was mentioned also satisfied my requirement. If you need more length better look other options.
R10PB68FRUHT5V,B014I8SSD0,AH77IQRYD54XCRMCO7XEAIAYCLPA,Delivery was good,All good
R3TLCE9JSBU3UP,B014I8SSD0,AEA2HQHMFG3ZGJFOLLJQ65WKIZUQ,This one was my need to purchase,It's the best HDMI cable at this price range. No problems yet. Just go for it !!
R2DD2M5YARW7R2,B07GQD4K6L,AF4MVO4JNFDEPWFKZO62OAJKRIWA,Best value for money,The sound quality of this earphone are really good. The bass part was also good. I only found the noise cancellation was not what I expected. It could be much better. Finally
R2M9ZYNGGV1ZLN,B07GQD4K6L,AHVPAXEWPATRASBKHOBI2I3VRLGQ,HEAD PHONE POUCH NOT RECEIVED, I can say its a good value for money.
RNWNTRNLSJWSB,B07GQD4K6L,AE47PRQCNT3YFSESBLAJOH6MSCFA,Overall good in this pricerange,At this purchase
R3BJBPNI2XP8HF,B07GQD4K6L,AGUOSXCR3PDNC2K4X7O7QNRGPAWQ,It's not working in my Phone properly Plz help me in exchange or return, i did'nt received head phone pouch to keep my head phones safe... it disappointed me
RI1FLXH6TFEAJ,B07GQD4K6L,AH5L6KKTP5ZQSN6GVQB4ZGXOM2DA, I ll be thankful to you,overall good and decent quality
R172WRCQLOW97V,B07GQD4K6L,AEP5OZFTG32NCC34GCOBFO24W6RA,Worth the money 🤑, I am writing this after two months
R3721R2I1BFETF,B07GQD4K6L,AEQXLMRCT4ZS65M3ST5YV6AOZG7Q,Best, I dont use regularly but whenever I use my colleagues says that your voice is clear 😂
R2DH3Z46FTCXQ8,B07GQD4K6L,AHZXKAGAJPIMZJD5XJ5QUIYR3ORA,Nice sound,Pin that I do connect to the phone gets automatically to outside. It doesn't work. Plz amazon help me. I'm a regular customer of this company. I'll be really thankful to you.
RCP907FSHW2CI,B09GFLXVH9,AF7B5AJJZP2WKRD74Z45L7YDOEHA,Best phone for below normal use,If you want a smart phone for just the use of calling and using social media. This is a very good option for you. I bought it for my mother who specifically told she just want a phone for calling purpose. This has only 2 gb of ram so don't think of running games like bgmi or asphalt and it also won't run very smooth under above normal conditions. There is no fingerprint sensor and the camera is trash. But the battery is 4000mah and has considerably high battery life. There is no fast charging only normal charger is given. So in my opinion this is a phone for a below average user who uses the smart phone just for calling or for scrolling through social media.
R2XSNFIDSF8IL4,B09GFLXVH9,AGEYI2JEUE752XDEXSTEIO7LJI5A,Good mobile for minimal usage ,This is worth for price 
R2JB9PO5MV9LER,B09GFLXVH9,AGNNZL2OXJSOP4LC4PWWYSTCZAAA, but technically highly worth, has the latest technical softwares and perform well for minimal usage 
R1WOXRK1I1XUD1,B09GFLXVH9,AF7O7XT6CTT6WPOITPUURTLR373A,For simple use, ofcourse it has configuration less so we should not look better than thisBattery life more than expected
R2R7NPFFHBHV2M,B09GFLXVH9,AEI3CRGT2GQUOOD67T5H2NK6J32A,Ok, we could buy for this budget range
R209MH0VOGQ7EF,B09GFLXVH9,AFVNPALAXLPTQV7PA3A6GG6GNKHQ,Good quality product,Simple and good
R276N47ZR7TWCM,B09GFLXVH9,AGFWKP74BJOEEMWDPDRITXUIW45A,Good unit, ok camera
RFYYONBM15HX5,B09GFLXVH9,AF36F2CYTEDAZ7XUT5FIVJV5WIFQ,Good,Ok
R1MI8HNTIFTDYT,B01MF8MB65,AEH4535UEBGBK4WIFIR5RHBM7AQA,The best earphones you can find out there under 500 Bucks..??? Are they Comfortable..?? Let's find out.....,____________________Technical Specifications---------------------------------Here's the technical information of Boat BassHeads 225 In-Ear Headphones. The information provided below is as per the manufacturer. Boat BassHeads 225 have a frequency range of 20 Hz to 20 kHz. It Features 10 mm drivers. Rated Impedance of 16 ohms. Comes with 1.2 meter Flat Tangle Free Cable. 3.5 mm Gold-Plated L-Shaped Audio Jack (90 degrees). Sensitivity : 98 dB+/-3 dB.____________________Built Quality & Design---------------------------------I was not expecting metal built at this price range but to my surprise
R1FAUB93NWC6U5,B01MF8MB65,AHBXCQFNVX4Y3DSDZYYDHORYLLSA,:( Not so good Not so bad :), Boat BassHeads 225 are fully made up of metal. It has a diagonal grid-like texture on the buds which feels amazing on touch. The metal construction gives Boat BassHeads 225 a premium feel & attractive appearance. The cable used by Boat on BassHeads 225 is Flat with rubberized coating
R1Y816Y6XQ56H1,B01MF8MB65,AEOLHHEMZIIF7EEUUV2R4TJB75UA,Good but i don't recommend, it is a tangle-free cable & does it's job well by decreasing the chances of the cable tangling. Despite the metal construction
R1PHO0AIE206X2,B01MF8MB65,AFFAQFCCJ5DD22NG3VJQA3XPECXA,Sexy, Boat BassHeads 225 are very lightweight & comes with a microphone & L-Shaped 3.5 mm audio jack which is again made up of metal. Overall the built quality is excellent for the price & seems very durable. The ear buds have proper L & R labels and are clearly visible. Boat BassHeads 225 comes with medium sized silicone tips already installed out-of-the-box.___________Audio Quality-------------------To ensure that I can test the BassHeads 225 at their uppermost limit
R1HFRZM6ZBIQP8,B01MF8MB65,AHSUUCCXKIC7DV2MVAXINC3B4GOA,You can expect it to work for a year, I used high-quality MP3 files of 320 kbps & Lossless audio formats like FLAC & WAV. For smartphone listening
R22N6KOWY37W1C,B01MF8MB65,AF6562TF5CHMMJIIAO2TQPNYVMBQ,Good buy but 1 side earphone stopped after 6-7 months, I used Poweramp music player & tweaked settings every now and then to see their extreme capability. For the computer
R14L1X0OOX0LFP,B01MF8MB65,AGTQRL452KSW2S3HBDH75PIC4F2Q,Vocals are good music is bit dizzy and there is a sound zzzzzzzzzz when everything is silent .., I used iTunes player & VLC Audio player. I also tested these earphones on Apple iPod
RS4WBWB5R5HX3,B01MF8MB65,AF6AJLI5BMDQ3ODA7AW3UMVU2X7A,Superb, iPhone & Sony MP3 Player. All this went for more than 10 days & finally
R284SZGRNQQXYS,B01LWYDEQ7,AGJTPXSZDYEWZM76UMJXCHUUPJSQ,Nice chopper,1st product came faulty got it replaced 
R3O2GOW05S3YSF,B01LWYDEQ7,AH4ON4ZDRHM5PWVW6725NRNU6VCA,Small easy use n clean, replacement is still working as good as new after a few months 
R28FXK3KNQP51T,B01LWYDEQ7,AHTTCQ7A5VN7L4335W3VEZG6QDQA,Not good, recommended as it seems once you get a proper product it is long lasting 
R10HDAKYPSY8DY,B01LWYDEQ7,AFL5LUHNIIKW6G6GPQML7SFN2W5A,Good, do get your faulty one replaced if you get it though.
RRHPL4BMSGAYI,B01LWYDEQ7,AFHJ53JKOT2VWMLKXNADZHOFDMCA,Good,Ya I love it this for easy to use and clean very useful when u want to chop a juicy tomato or leafy veggi and also size also quite good for smaller family
R36VHNVQVB9LZQ,B01LWYDEQ7,AF3DB2GLX5C4YCCPB7CJYRQPANTQ,Probably the best purchase for my mom!,Do not work after 15 days
RM8OH7G4FEYF2,B01LWYDEQ7,AH723Y45K7AIA5HG27CCBVDZQPYA,String issues,Good and smooth working
R281F6NM4QUQ2K,B01LWYDEQ7,AGDB3UZ4G544VVY2ZDHJUI6KOLJQ,Good product.,Good
R2XCI5KR2H8QEI,B005FYNT3G,AFNMA3FQAONYMREOFLNYF2RV4AOA,Good product,Very chip very good
R3BNQCB05PYZMV,B005FYNT3G,AHAYDWCGM4QNXWBCRC5LADVNADTQ,Affordable,Really happy to buy this pen drive comparatively with low cost
RVXXO15AGASNX,B005FYNT3G,AFQFYAWOQX6T6PE5UVBUEFNBZC5Q,Good,Very good
R1VU19BJMXT73J,B005FYNT3G,AHCXVEDVUKHZFJY5GZOVEXXZ5FBQ,Reding speed is only under 22mb/s,Storage capacity is good
R2LYRK8OS10K2Z,B005FYNT3G,AEPAT7E6LUSVYZ6BFUYULMMKN6HQ,Good product 👍,Like
R1NOP9O1UWSJJC,B005FYNT3G,AE7Y6RN5W7UID7VMJJWVAIT55JAQ,good,good
RE6XTKYH9FSA,B005FYNT3G,AECBZRZ5INBTHZJJIGSQJNEEEUYA,Good product and value for money,Good product and value for money
R1J5H4FDTO6GBX,B005FYNT3G,AHON2KL4HI3A5EPJ4TZU2MQF5ACA,All about it is very good product in suitable price.,It's all good 
R3QA00SN4P1YUC,B09X7DY7Q4,AEKKBA277W5KM6HAY3YDVILIDSEQ,Just gets the job done. Not so fast as it says,The write speeds are plateauing around 18 MBps and not 140 Mbps. That is a very huge gap. In which universe have they tested it. It is just okay; I'm disappointed by its performence.
